Date,CodeProduit,Pays,sales_number
2023-11-11,smlt,république tchèque,0.0
2023-11-11,1x,espagne,0.0
2023-11-11,smlt,hongrie,0.0
2023-11-11,2x,chypre,0.0
2023-11-11,2x,qatar,0.0
2023-11-11,lot,allemagne,0.0
2023-11-11,dsmlt,grèce,0.0
2023-11-11,dsmlt,irlande,0.0
2023-11-11,lot,irlande,0.0
2023-11-11,rge,allemagne,0.0
2023-11-11,smlt,koweït,0.0
2023-11-11,1x,australie,0.0
2023-11-11,dsmlt,belgique,0.0
2023-11-11,smlt,allemagne,0.0
2023-11-11,3x,luxembourg,0.0
2023-11-11,smlt,nouvelle-zélande,0.0
2023-11-11,quail,USA,0.0
2023-11-11,rge,canada,0.0
2023-11-11,3x,canada,0.0
2023-11-11,3x,autriche,0.0
2023-11-11,3x,nouvelle-zélande,0.0
2023-11-11,2x,canada,0.0
2023-11-11,bag,USA,0.0
2023-11-11,lot,chypre,0.0
2023-11-11,3x,finland,0.0
2023-11-11,bag,allemagne,0.0
2023-11-11,3x,nouvelle-calédonie,0.0
2023-11-11,lot,nouvelle-zélande,0.0
2023-11-11,rge,malaisie,0.0
2023-11-11,smlt,norvège,0.0
2023-11-11,2 trans,slovénie,0.0
2023-11-11,bag,italie,0.0
2023-11-11,2x,afrique de sud,0.0
2023-11-11,2 trans,afrique de sud,0.0
2023-11-11,2x,cyprus,0.0
2023-11-11,dsmlt,australie,0.0
2023-11-11,2 trans,koweït,0.0
2023-11-11,lot,koweït,0.0
2023-11-11,3x,koweït,0.0
2023-11-11,dsmlt,arabie saoudite,0.0
2023-11-11,3x,danemark,0.0
2023-11-11,2x,turquie,0.0
2023-11-11,dsmlt,pays-bas,0.0
2023-11-11,3x,arabie saoudite,0.0
2023-11-11,3x,suisse,0.0
2023-11-11,3x,chypre,0.0
2023-11-11,smlt,liban,0.0
2023-11-11,lot,canada,0.0
2023-11-11,quail,royaume-uni,0.0
2023-11-11,lot,malaisie,0.0
2023-11-11,rge,slovénie,0.0
2023-11-11,rge,australie,0.0
2023-11-11,1x,canada,0.0
2023-11-11,smlt,australie,0.0
2023-11-11,rge,pologne,0.0
2023-11-11,3x,cyprus,0.0
